surface,n_samples,repeat,method,time_sec,t_idx,T,S
paraboloid,2000,1,full,3.4900132619659416,0,199,2000
paraboloid,2000,1,ukf,0.0015232680016197264,0,199,2000
paraboloid,2000,2,full,1.0126141550135799,0,199,2000
paraboloid,2000,2,ukf,0.0015634259907528758,0,199,2000
paraboloid,2000,3,full,0.9853466910426505,0,199,2000
paraboloid,2000,3,ukf,0.0017132629873231053,0,199,2000
saddle,2000,1,full,1.100733780011069,0,199,2000
saddle,2000,1,ukf,0.0017260920139960945,0,199,2000
saddle,2000,2,full,1.1897872329573147,0,199,2000
saddle,2000,2,ukf,0.004754811991006136,0,199,2000
saddle,2000,3,full,1.0212733439984731,0,199,2000
saddle,2000,3,ukf,0.001699112995993346,0,199,2000
ripples,2000,1,full,1.5512031610123813,0,199,2000
ripples,2000,1,ukf,0.0013781420420855284,0,199,2000
ripples,2000,2,full,0.9604226730298251,0,199,2000
ripples,2000,2,ukf,0.0017371670110151172,0,199,2000
ripples,2000,3,full,0.9399700729991309,0,199,2000
ripples,2000,3,ukf,0.001827472005970776,0,199,2000
